gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3815632959	5625910c-6d03-4879-8046-13edc1128b95	DONANA:REPT:T17:2017-05-04:1:1557	Animalia	Chordata	Squamata		Lacertidae	Psammodromus	Psammodromus algirus		SPECIES	Psammodromus algirus (Linnaeus, 1758)	Psammodromus algirus  (Linnaeus, 1758)	(Linnaeus, 1758)	ES	Sabinar Ojillo	Huelva	PRESENT	1	6b8da9ca-0648-4df3-9f0a-d43ab20a9412	37.00968	-6.50661							2017-05-04T00:00:00	4	5	2017	2469763	2469763	HUMAN_OBSERVATION	EBD-CSIC						CC_BY_4_0		Ana Andreu			2023-08-25T16:10:23.765Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3815632958	5625910c-6d03-4879-8046-13edc1128b95	DONANA:REPT:T16:2010-09-24:1:72	Animalia	Chordata	Squamata		Lacertidae	Acanthodactylus	Acanthodactylus erythrurus		SPECIES	Acanthodactylus erythrurus (Schinz, 1833)	Acanthodactylus erythrurus (Schinz, 1833)	(Schinz, 1833)	ES	Acebron	Huelva	PRESENT	1	6b8da9ca-0648-4df3-9f0a-d43ab20a9412	37.14517	-6.54452							2010-09-24T00:00:00	24	9	2010	5226733	5226733	HUMAN_OBSERVATION	EBD-CSIC						CC_BY_4_0		Isidro Román			2023-08-25T16:10:23.765Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3815632957	5625910c-6d03-4879-8046-13edc1128b95	DONANA:REPT:T16:2010-09-24:1:71	Animalia	Chordata	Squamata		Phyllodactylidae	Tarentola	Tarentola mauritanica		SPECIES	Tarentola mauritanica (Linnaeus, 1758)	Tarentola mauritanica  (Linnaeus, 1758)	(Linnaeus, 1758)	ES	Acebron	Huelva	PRESENT	1	6b8da9ca-0648-4df3-9f0a-d43ab20a9412	37.14521	-6.54505							2010-09-24T00:00:00	24	9	2010	2445034	2445034	HUMAN_OBSERVATION	EBD-CSIC						CC_BY_4_0		Isidro Román			2023-08-25T16:10:23.765Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3815632956	5625910c-6d03-4879-8046-13edc1128b95	DONANA:REPT:T17:2017-05-04:1:1555	Animalia	Chordata							PHYLUM	Chordata	Reptilia		ES	Sabinar Ojillo	Huelva	PRESENT	1	6b8da9ca-0648-4df3-9f0a-d43ab20a9412	37.00791	-6.50689							2017-05-04T00:00:00	4	5	2017	44		HUMAN_OBSERVATION	EBD-CSIC						CC_BY_4_0		Ana Andreu			2023-08-25T16:10:23.763Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3815632955	5625910c-6d03-4879-8046-13edc1128b95	DONANA:REPT:T17:2017-05-04:1:1554	Animalia	Chordata							PHYLUM	Chordata	Reptilia		ES	Sabinar Ojillo	Huelva	PRESENT	1	6b8da9ca-0648-4df3-9f0a-d43ab20a9412	37.00759	-6.50698							2017-05-04T00:00:00	4	5	2017	44		HUMAN_OBSERVATION	EBD-CSIC						CC_BY_4_0		Ana Andreu			2023-08-25T16:10:23.762Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3815632954	5625910c-6d03-4879-8046-13edc1128b95	DONANA:REPT:T16:2010-09-24:1:74	Animalia	Chordata							PHYLUM	Chordata	Reptilia		ES	Acebron	Huelva	PRESENT	1	6b8da9ca-0648-4df3-9f0a-d43ab20a9412	37.14413	-6.54251							2010-09-24T00:00:00	24	9	2010	44		HUMAN_OBSERVATION	EBD-CSIC						CC_BY_4_0		Isidro Román			2023-08-25T16:10:23.763Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3815632953	5625910c-6d03-4879-8046-13edc1128b95	DONANA:REPT:T17:2017-05-04:1:1562	Animalia	Chordata							PHYLUM	Chordata	Reptilia		ES	Sabinar Ojillo	Huelva	PRESENT	1	6b8da9ca-0648-4df3-9f0a-d43ab20a9412	37.0135	-6.50569							2017-05-04T00:00:00	4	5	2017	44		HUMAN_OBSERVATION	EBD-CSIC						CC_BY_4_0		Ana Andreu			2023-08-25T16:10:23.759Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3815632952	5625910c-6d03-4879-8046-13edc1128b95	DONANA:REPT:T12:2010-06-08:1:368	Animalia	Chordata	Squamata		Phyllodactylidae	Tarentola	Tarentola mauritanica		SPECIES	Tarentola mauritanica (Linnaeus, 1758)	Tarentola mauritanica  (Linnaeus, 1758)	(Linnaeus, 1758)	ES	Acebuche	Huelva	PRESENT	1	6b8da9ca-0648-4df3-9f0a-d43ab20a9412	37.04868	-6.57553							2010-06-08T00:00:00	8	6	2010	2445034	2445034	HUMAN_OBSERVATION	EBD-CSIC						CC_BY_4_0		Ana Andreu			2023-08-25T16:10:23.754Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3815632951	5625910c-6d03-4879-8046-13edc1128b95	DONANA:REPT:T16:2010-09-24:1:73	Animalia	Chordata							PHYLUM	Chordata	Reptilia		ES	Acebron	Huelva	PRESENT	1	6b8da9ca-0648-4df3-9f0a-d43ab20a9412	37.14452	-6.5435							2010-09-24T00:00:00	24	9	2010	44		HUMAN_OBSERVATION	EBD-CSIC						CC_BY_4_0		Isidro Román			2023-08-25T16:10:23.762Z		GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_HIGHERRANK;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
3815632950	5625910c-6d03-4879-8046-13edc1128b95	DONANA:REPT:T12:2009-05-26:1:324	Animalia	Chordata	Squamata		Lacertidae	Psammodromus	Psammodromus algirus		SPECIES	Psammodromus algirus (Linnaeus, 1758)	Psammodromus algirus  (Linnaeus, 1758)	(Linnaeus, 1758)	ES	Acebuche	Huelva	PRESENT	1	6b8da9ca-0648-4df3-9f0a-d43ab20a9412	37.04758	-6.56568							2009-05-26T00:00:00	26	5	2009	2469763	2469763	HUMAN_OBSERVATION	EBD-CSIC						CC_BY_4_0		Ana Andreu			2023-08-25T16:10:23.761Z		GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
